mode,run_name,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
unconstrained,run_11,61875d8b56b512a89febdcb93536e6fe,9,0,9,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,3,9,9,3,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",8,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_12,6005798f04bddc92db80dfd7bbe0aae3,5,0,5,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_13,dcea2279a251d231ea8bbad8a93d7f07,6,0,6,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,2,6,6,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_14,540cf0ca5b407b7091a5ce8c3e2234e7,5,0,5,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_15,e0b887fe3d2d1291496aa6c808ce1262,4,0,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_16,70a5c540482916ce7549095b93da60c9,7,0,7,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,3,7,7,3,True,2,1,2,2,1,True,0,,0,,0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_17,7d189799899a2bc9ead0908dab694097,15,5,8,2,0,answer_value_constraints,answer,True,5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",,,,15,5,False,,,,0,0,False,5,"LLM did not return JSON array. Raw: Here is the JSON array of action intents: ``` [   {""tool"": ""fill"", ""key"": ""age"", ""value"": """"}, // invalid input, should be a number   {""tool"": ""check"", ""key"": ""trust_coverage"", ""value""",0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",7,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_18,0380dacdbcd43c5c14fc4a3221dc93cd,3,0,3,0,0,answer_value_constraints,answer,False,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",3,1,3,3,1,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_19,54b3841178dd4091781d210efc562627,5,0,5,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_20,4e072b95a555b5f6fbbea96dc258905a,4,0,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,0,,0,,0,,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_21,6ac217bb2d42b7f97b63a548f94be031,12,0,12,0,0,answer_value_constraints,answer,False,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,4,12,12,4,True,2,1,2,2,1,True,0,,0,,0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",9,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_22,825f87466bfc0045c810c50c2bf68a51,11,0,11,0,0,answer_value_constraints,answer,False,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,4,11,11,4,True,2,1,2,2,1,True,0,,0,,0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",8,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_23,95f30ae2e169cd0edbf2bc71de6391c7,15,7,3,5,0,planning_format,planning,True,5,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",,,,15,5,False,,,,0,0,False,7,"LLM did not return JSON array. Raw: Here is the JSON array of action intents:  ``` [   {""tool"": ""check"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},   {""tool"": ""check"", ""key"": ""mood_impact"", ""value"": ""Disagre",0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",5,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_24,8faafa204bbdea31f500b08ab6e563b5,8,0,8,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,3,8,8,3,True,2,1,2,2,1,True,0,,0,,0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_25,7f60188802454466169e351ae15e1c9c,3,1,2,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,1,2,2,1,True,2,1,2,2,1,True,0,,0,,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'field_1', 'value': ''}",0,,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_26,624778e32884bbbd0ecb85fad72c973c,7,0,7,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,3,7,7,3,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_27,68e82dce5c33c8eda1518758a0df361e,15,0,15,0,0,answer_value_constraints,answer,True,5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",,,,15,5,False,,,,0,0,False,0,,0,,0,,5,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",10,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_28,111388c63120f76a18403c3e79b048c2,6,2,3,1,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,2,6,6,2,True,2,1,2,2,1,True,2,"LLM did not return JSON array. Raw: Here is the JSON array of action intents:  ``` [     {""tool"": ""check"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},     {""tool"": ""check"", ""key"": ""mood_impact"", ""value"": ""Str",0,,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_29,3a4afed0389b260e530796fea83b930f,8,0,8,0,0,answer_value_constraints,answer,False,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,3,8,8,3,True,2,1,2,2,1,True,0,,0,,0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_30,cc6d5a49e6f5a7b6ae05c810c071d89a,13,0,13,0,0,answer_value_constraints,answer,False,5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,5,13,13,5,True,2,1,2,2,1,True,0,,0,,0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",9,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_31,1dde0c4a19a6a8bb442b0c822252c150,14,0,14,0,0,answer_value_constraints,answer,False,5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,5,14,14,5,True,2,1,2,2,1,True,0,,0,,0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",10,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_32,f21ec6f5a2ec887e6aaade95019b1766,12,0,12,0,0,answer_value_constraints,answer,False,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,4,12,12,4,True,2,1,2,2,1,True,0,,0,,0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",9,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_33,7e303f4d93ec2338c2d47386930bd100,7,3,2,2,0,planning_format,planning,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,3,7,7,3,True,2,1,2,2,1,True,3,"LLM did not return JSON array. Raw: Here is the JSON array of action intents:  ``` [   {""tool"": ""check"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},   {""tool"": ""check"", ""key"": ""mood_impact"", ""value"": ""Strongl",0,,0,,0,,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_34,be9fae109b36027f31e327ae0f82eedb,6,0,6,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,2,6,6,2,True,2,1,2,2,1,True,0,,0,,0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_35,def9acc48d5c791fe0fede6718525173,6,2,2,2,0,infra_or_transport,planning,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,2,6,6,2,True,2,1,2,2,1,True,2,"LLM did not return JSON array. Raw: Here is the JSON array of action intents based on the provided information:  ``` [   {""tool"": ""check"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},   {""tool"": ""check"", ""key""",0,,0,,0,,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_36,96874a29b3a9319afbb44a092d85a5a1,6,1,5,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,0,,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'field1', 'value': ''}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_37,4eeed15e662d45ee4ed42d45dd6e163b,4,0,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_38,312c858ffa86d562236457b404fc01a9,10,1,9,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,3,9,9,3,True,3,1,3,3,1,True,1,"LLM did not return JSON array. Raw: Here is the JSON array of action intents:  ``` [   {""tool"":""check"",""key"":""image_q1"",""value"":""q1_a""},   {""tool"":""check"",""key"":""image_q2"",""value"":""q2_b""},   {""tool"":""check"",""key"":""image_",0,,0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",7,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_39,a33194deb5ce2113e258232a152d505f,7,2,3,2,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,3,7,7,3,True,2,1,2,2,1,True,2,"LLM did not return JSON array. Raw: Here is the JSON array of action intents:  ``` [     {""tool"": ""check"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},     {""tool"": ""check"", ""key"": ""mood_impact"", ""value"": ""Str",0,,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_40,bc2c18c25d989fb0b9a9e07e0eed0e11,5,0,5,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_41,52745898915d4149dc4998e34cd9acde,6,0,6,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,2,6,6,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_42,0dbb05f74bdd2736272593f595f00798,8,3,3,2,0,planning_format,planning,False,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,3,8,8,3,True,2,1,2,2,1,True,3,"LLM did not return JSON array. Raw: Here is the JSON array of action intents:  ``` [   {""tool"": ""check"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},   {""tool"": ""check"", ""key"": ""mood_impact"", ""value"": ""Disagre",0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_43,5aba1eb574f4279f0957facb75a38bd1,3,0,3,0,0,answer_value_constraints,answer,False,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",3,1,3,3,1,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_44,60baf09dbe01a05013fc7dbdb5ce5d15,5,0,5,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_45,3ca07f444bd4c7a3963dd0f867262905,3,0,3,0,0,answer_value_constraints,answer,False,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",3,1,3,3,1,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_46,ce54138dc2f03b5e6ff34a4ccf1f0a15,8,0,8,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,3,8,8,3,True,2,1,2,2,1,True,0,,0,,0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_47,74080d5fc932675e74461e88f23863e5,7,0,7,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,3,7,7,3,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
unconstrained,run_48,0b029877356b4667ab4109c8ee4135ab,16,6,4,6,0,infra_or_transport,planning,False,6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,4,10,17,7,True,2,1,2,2,1,True,6,"LLM did not return JSON array. Raw: Here is the JSON array of action intents:  ``` [     {""tool"": ""check"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},     {""tool"": ""check"", ""key"": ""mood_impact"", ""value"": ""Str",0,,0,,0,,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",6,Client error '400 Bad Request' for url 'http://127.0.0.1:1234/v1/chat/completions' For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,0,
unconstrained,run_49,b18a627217d3edabf20060d31ce39e56,11,0,11,0,0,answer_value_constraints,answer,False,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",2,4,11,11,4,True,2,1,2,2,1,True,0,,0,,0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",8,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
