mode,run_name,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_11,4c40b8042771623fa7aeb7b3a33413d2,9,9,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",1,3,7,7,3,True,3,1,3,3,1,True,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_12,f5f122fd4544e9f6884ea3ce590fef2b,22,18,4,0,0,planning_completeness,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,3,5,15,15,5,True,0,,17,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_13,4313b599af0d6e75c08b6c3822015bbf,15,14,1,0,0,planning_completeness,planning,False,6,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,2,4,4,2,True,1,5,13,13,5,True,0,,14,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_14,b884be43e187eef78f0366c6eb83307a,24,21,3,0,0,planning_completeness,planning,False,8,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],3,4,12,12,4,True,2,5,14,14,5,True,0,,20,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_15,78fdbd30673f0bb8215c3b6b267d47b4,4,4,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,2,4,4,2,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_16,089d66e810ac22f5b29244a4583561c7,6,5,1,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,1,2,4,4,2,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_17,1d01d2e0a16a12f5d9e260987b8698d3,15,15,0,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,3,4,12,12,4,True,0,,14,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_18,b358e1218603e941040527a7372eb64a,25,25,0,0,0,planning_completeness,planning,True,8,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,4,11,11,4,True,,,,15,5,False,0,,23,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",0,,0,,0,,0,
completion,run_19,97cbcced265b49598465359619915ea6,19,17,2,0,0,planning_completeness,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,4,11,11,4,True,1,4,10,10,4,True,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_attn_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_20,aa4a0a10c0b0c6d9396ffee2d34f49e0,13,12,1,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,4,11,11,4,True,1,2,4,4,2,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_21,ba3ff89ca61718dde3b1a13781978fcc,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_22,06906c3d65f3cafc67fbe4b6c8de59ec,15,11,4,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid', 'favorite_moment']",,,,15,5,False,,,,0,0,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid', 'favorite_moment']",0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_23,df01a4ef695684317de6ce6988edd57f,7,6,1,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,3,2,6,6,2,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_24,b32ca042d52625034bdc8f01596567be,25,20,5,0,0,planning_schema_key,planning,True,8,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,4,11,11,4,True,,,,15,5,False,0,,8,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",5,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_25,bddb6ac3637da6a914774ac9b33c9b3b,15,8,7,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",,,,15,5,False,,,,0,0,False,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",0,,7,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'mood_impact', 'value': 'Somewhat agree'}",0,,0,,0,
completion,run_26,6aa3c3b9e7eb7f5085498700860d6a74,14,14,0,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,5,14,14,5,True,1,1,1,1,1,True,0,,14,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_27,c296ea925e4a15ecd43d7688aea02df6,15,14,1,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,13,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'strongly_disagree'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_28,8036f178b8b3448c7f5f00f29a533168,15,15,0,0,0,planning_format,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],,,,15,5,False,,,,0,0,False,13,"VLM did not return JSON array. Raw: [   {""tool"":""fill"",""key"":""age"",""value"":35},   {""tool"":""select"",""key"":""follow_by_age"",""value"":""somewhat""},   {""tool"":""select"",""key"":""employment_status"",""value"":""full_time""},   {""tool"":""",2,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_29,c30f06edd8398dd38bf6855e343f3c8a,15,15,0,0,0,planning_schema_key,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],,,,15,5,False,,,,0,0,False,0,,7,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],8,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=3'}",0,,0,,0,,0,
completion,run_30,2216776b672d78c7154ae0676068e852,5,5,0,0,0,planning_completeness,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,2,4,4,2,True,3,1,3,3,1,True,0,,4,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_attn_a'}",0,,0,,0,,0,
completion,run_31,5a4b6aa1e37fc4f9beb8700b60c25430,21,21,0,0,0,planning_completeness,planning,True,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,3,7,7,3,True,,,,15,5,False,0,,17,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'check', 'key': 'q1_a'}",0,,0,,0,,0,
completion,run_32,38b2ba5a2bb62093a00c7f785ec18985,17,17,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,,,,15,5,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",6,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",0,,0,,0,,0,
completion,run_33,b9e648ad895655715c7bb5c48d32d15f,4,4,0,0,0,planning_completeness,planning,False,1,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],3,1,3,3,1,True,3,1,3,3,1,True,0,,4,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,0,,0,,0,,0,
completion,run_34,672bb92e2d9bb960c8e0e68c98daa0da,9,9,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,2,1,2,2,1,True,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_35,a7c1bad260699bd049365241e1861530,6,5,1,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,3,2,6,6,2,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_36,1645aaebadcf769c3b1a38e888acc8be,25,23,2,0,0,planning_completeness,planning,True,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,4,11,11,4,True,,,,15,5,False,0,,17,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",6,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,2,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_37,48733f800732ff0d3509399b5573a178,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_38,e0a0fe27268072864aa0522f2dbd01ec,15,15,0,0,0,planning_schema_key,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],,,,15,5,False,,,,0,0,False,0,,7,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],8,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=2'}",0,,0,,0,,0,
completion,run_39,424b29ce6af2ffff9d686ea7466b7fa9,8,8,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,3,2,6,6,2,True,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_40,6c8b6aabab15c4695ac4adfbf6f71eb1,15,11,4,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_41,77ca2007eea140de20d9c6b80ecb6586,15,14,1,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,3,"VLM did not return JSON array. Raw: [   {""tool"":""fill"",""key"":""age"",""value"":30},   {""tool"":""select"",""key"":""follow_by_age"",""value"":""somewhat""},   {""tool"":""select"",""key"":""employment_status"",""value"":""full_time""},   {""tool"":""",10,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_text_mid >> nth=2'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_42,073d70c56b34f4411c98eae2b38d4379,16,16,0,0,0,planning_completeness,planning,False,5,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],1,5,13,13,5,True,2,2,5,5,2,True,0,,13,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_43,e92294201cb5a05c084b98f8dc15582c,10,10,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,4,10,10,4,True,2,1,2,2,1,True,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",0,,0,,0,,0,
completion,run_44,194b8cd216e9d01b2acefd0645139534,7,4,3,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",2,1,2,2,1,True,1,3,7,7,3,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_45,6f24870c656068f7433ec678cd115ccc,16,14,2,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,2,6,6,2,True,3,4,12,12,4,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_46,db1da3556cc5b0497a5905e8068b46f8,9,8,1,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,3,7,7,3,True,1,2,4,4,2,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'q1_b'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_47,88f98b6fa83853ab25c269e7e29af90a,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_48,f684861dc6f3796b622774111b18b126,10,10,0,0,0,planning_schema_key,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,4,10,10,4,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",0,,0,,0,,0,
completion,run_49,ab7ee2c87e7027045223a3fea9924f6a,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,14,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_follow_by_age'}",0,,0,,0,,0,
completion,run_50,18b2b5000530f920cae2cb90b929d6a5,7,7,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,2,2,5,5,2,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_51,d415a924fb9fee3fad172d6dab81c58d,15,4,11,0,0,answer_option_mapping,answer,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,11,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_52,67590bcd4008043bf6186e07946d44a8,15,14,1,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],,,,15,5,False,,,,0,0,False,0,,14,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'mood_impact'}",0,,0,,0,
completion,run_53,5074d006d675237fa1e7e3ef506d29bf,12,12,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,3,3,9,9,3,True,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_54,85fae41672cdf8eeb92733fbe6859d4d,23,23,0,0,0,planning_completeness,planning,True,7,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],3,3,9,9,3,True,,,,15,5,False,0,,14,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],9,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_55,dbb192aea1b7e2934d1c7a610413a568,10,10,0,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,3,8,8,3,True,3,1,3,3,1,True,0,,10,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,0,,0,,0,,0,
completion,run_56,c3c7c5985a7d9f88d56d4ecef28ae46a,5,5,0,0,0,planning_completeness,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,3,1,3,3,1,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_q1_a'}",0,,0,,0,,0,
completion,run_57,bb8ae33ae2194be33b58add0d3baea73,17,17,0,0,0,planning_completeness,planning,False,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,4,11,11,4,True,2,3,8,8,3,True,0,,17,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_58,4ae9b19a392d15657cea42f9d8f46d77,4,3,1,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,2,1,2,2,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_59,6910b2ba584ce91e1133912bce092aab,8,7,1,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],3,1,3,3,1,True,1,3,7,7,3,True,0,,6,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'q1_b'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_60,7f2a5d1edc065793a6c60d1df6402ff7,10,8,2,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,1,1,1,1,1,True,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'set_range', 'key': 'mood_impact', 'value': 5}",0,,0,,0,
