mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_11,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_11,39af0e6c3941411a51df77137d1cd881,13,11,2,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,4,10,10,4,True,1,2,4,4,2,True,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_a'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'age'}",0,,0,
completion,run_12,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_12,f584c32201b67488da9a6cde6abc97a6,3,3,0,0,0,planning_completeness,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_13,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_13,a46b02775cae50ff3208e10ff23c6e80,15,14,1,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",,,,15,5,False,,,,0,0,False,0,,14,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'mood_impact'}",0,,0,,0,
completion,run_14,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_14,be64ee0b7ecec34f2adf24ecb5e3bd0e,26,22,4,0,0,planning_completeness,planning,True,8,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],3,4,12,12,4,True,,,,15,5,False,0,,17,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],5,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_15,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_15,37291b6e2ecea1be8714f4b510d77ed5,25,24,1,0,0,planning_completeness,planning,False,9,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,5,13,13,5,True,2,5,14,14,5,True,0,,18,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],6,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_a'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_16,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_16,46cf8f5e78aa66c4f6ce908ffc032d0b,15,13,2,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",,,,15,5,False,,,,0,0,False,0,,13,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",0,,0,,2,"Fill value for number field must be numeric: {'tool': 'fill', 'key': 'age', 'value': '<user_age>'}",0,,0,
completion,run_17,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_17,707c57c6d1c0c3319c6867fe9f9aaf85,15,15,0,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],,,,15,5,False,,,,0,0,False,0,,15,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,0,,0,,0,,0,
completion,run_18,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_18,9be4ddfd14185efd51051f2109f749a6,13,12,1,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,3,8,8,3,True,1,3,7,7,3,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_19,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_19,a1fc84053150a1b0cc1dd6adbb93eb62,17,13,4,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,,,,15,5,False,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",5,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_20,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_20,26f5dc422002c94ddc733a2abbe2b533,15,15,0,0,0,planning_format,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],,,,15,5,False,,,,0,0,False,8,"VLM did not return JSON array. Raw: [   {""tool"":""fill"",""key"":""age"",""value"":30},   {""tool"":""select"",""key"":""follow_by_age"",""value"":""somewhat""},   {""tool"":""select"",""key"":""employment_status"",""value"":""full_time""},   {""tool"":""",7,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_21,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_21,fead37a51926c6203c2dfdb2914c320a,2,2,0,0,0,planning_completeness,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_22,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_22,a48570e94aa9619734ada953bbe2ad33,10,10,0,0,0,planning_schema_key,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,2,3,8,8,3,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",5,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_23,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_23,98901b0d0605781c849b19ca63a79917,8,8,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,3,2,6,6,2,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_24,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_24,9456fec3d3b06067e2e4549e4882fb18,5,5,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,2,1,2,2,1,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_25,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_25,82a96761f68376cdb434a815671bbd21,10,6,4,0,0,planning_completeness,planning,False,4,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,3,8,8,3,True,1,2,4,4,2,True,0,,6,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_26,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_26,89d3bbc3a2464cd07a3efaa00015832a,6,6,0,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],1,2,4,4,2,True,1,2,4,4,2,True,0,,6,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],0,,0,,0,,0,,0,
completion,run_27,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_27,eaa48987341988c6865a0da4ad705997,3,3,0,0,0,planning_completeness,planning,False,0,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,1,3,3,1,True,2,1,2,2,1,True,0,,3,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_28,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_28,ed359c60ebd587cfc075be22f9e5c095,15,12,3,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid', 'favorite_moment']",,,,15,5,False,,,,0,0,False,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid', 'favorite_moment']",0,,3,"Select value must match ACTION_SPACE option: {'tool': 'click', 'key': 'attention_text_mid'}",0,,0,,0,
completion,run_29,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_29,9d4c4fb80e012a51831249ae4b76839f,19,16,3,0,0,planning_completeness,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,,,,15,5,False,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_30,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_30,a14ec53718fe5c9cb8d96c8384f44f4e,19,9,10,0,0,answer_option_mapping,answer,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",2,2,5,5,2,True,,,,15,5,False,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",10,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_31,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_31,169c54a66d110decf90fe0a37ca5cb78,15,15,0,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],,,,15,5,False,,,,0,0,False,1,"VLM did not return JSON array. Raw: [   {""tool"": ""fill"", ""key"": ""age"", ""value"": 30},   {""tool"": ""select"", ""key"": ""follow_by_age"", ""value"": ""very_closely""},   {""tool"": ""select"", ""key"": ""employment_status"", ""value"": ""full_",14,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_32,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_32,a31e36a1ffdb5a0a45ef291d0f73836c,6,6,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,2,2,5,5,2,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_33,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_33,da6e1517718bcbf830e15f86536c341b,25,22,3,0,0,planning_completeness,planning,True,8,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],2,4,11,11,4,True,,,,15,5,False,0,,15,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_34,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_34,6f73e85ae89d8a082510e91446d967a9,15,11,4,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,1,"VLM did not return JSON array. Raw: [   {""tool"": ""select"", ""key"": ""age"", ""value"": 30},   {""tool"": ""select"", ""key"": ""follow_by_age"", ""value"": ""very_closely""},   {""tool"": ""select"", ""key"": ""employment_status"", ""value"": ""ful",10,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_35,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_35,c6a58a5b4520a3ea7443f93ef0f0ccb9,18,13,5,0,0,planning_completeness,planning,True,6,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],1,2,4,4,2,True,,,,15,5,False,0,,12,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",5,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_36,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_36,adde6fd7afcce129c65d201a4b7a14a1,21,17,4,0,0,planning_schema_key,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,4,11,11,4,True,3,4,12,12,4,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",10,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_37,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_37,1bb275d9194ea21b4150b0e9004ea945,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,13,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'Strongly_disagree'}",0,,0,,0,,0,
completion,run_38,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_38,1ff17c90f63681760eb307a75d42bc2c,11,10,1,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,4,10,10,4,True,3,1,3,3,1,True,0,,10,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_39,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_39,b7643f0fc043f8061fd034acd6830c55,18,16,2,0,0,planning_completeness,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",1,2,4,4,2,True,,,,15,5,False,0,,10,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",6,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_a'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_40,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_40,74cc386716ce6fa31f8b824463a7c579,7,7,0,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,3,8,8,3,True,1,1,1,1,1,True,0,,7,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,0,,0,,0,,0,
completion,run_41,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_41,c5734416571cfcfb6e46c99645ad6e8b,18,17,1,0,0,planning_schema_key,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,,,,15,5,False,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_42,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_42,499c8b78916d47293352b54ae25474d4,4,4,0,0,0,planning_completeness,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,2,5,5,2,True,1,1,1,1,1,True,0,,4,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,0,,0,,0,,0,
completion,run_43,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_43,4501b609fd4efbf426105db996af33b2,3,3,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,1,1,1,1,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_44,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_44,48964f71098ed3375a8977858215517c,9,9,0,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],2,3,8,8,3,True,3,1,3,3,1,True,0,,9,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,0,,0,,0,,0,
completion,run_45,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_45,d94b238d86690766ff5ecbcb5b12bfd6,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_46,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_46,cc5d83694ab5fd264505b3232afad491,5,5,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,2,4,4,2,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_47,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_47,791aa789046d01a0c97a4659ef1986e8,15,7,8,0,0,answer_option_mapping,answer,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,8,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
